City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Weather
70,Airai,TL,-8.9266,125.4092,59.88,93,95,1.14,Clouds
71,Georgetown,MY,5.4112,100.3354,78.73,98,20,0.0,Clouds
72,Adrar,MR,20.5022,-10.0711,77.77,12,72,10.85,Clouds
73,Castro,BR,-24.7911,-50.0119,58.64,90,100,6.33,Clouds
74,Thunder Bay,CA,48.4001,-89.3168,22.98,58,75,18.41,Clouds
75,Cotonou,BJ,6.3654,2.4183,84.18,70,32,8.05,Dust
76,Saint-Philippe,RE,-21.3585,55.7679,80.19,85,89,11.86,Clouds
77,Eyl,SO,7.9803,49.8164,72.7,72,36,16.2,Clouds
78,Souillac,MU,-20.5167,57.5167,80.98,89,75,6.91,Rain
79,Lebu,CL,-37.6167,-73.65,60.21,77,13,20.13,Clouds
80,Chuy,UY,-33.6971,-53.4616,66.29,48,100,12.17,Clouds
81,Ancud,CL,-41.8697,-73.8203,59.04,62,31,2.71,Clouds
82,Nantucket,US,41.2835,-70.0995,44.74,78,0,11.5,Clear
83,Itapirapua,BR,-15.8233,-50.6133,74.84,87,80,3.58,Rain
84,Mount Isa,AU,-20.7333,139.5,71.37,78,97,4.61,Clouds
85,Pevek,RU,69.7008,170.3133,-23.96,93,100,1.21,Clouds
86,Pangnirtung,CA,66.1451,-65.7125,-36.4,61,0,0.0,Clear
87,Nioro,GM,13.35,-15.75,81.05,42,72,9.19,Clouds
88,Flinders,AU,-34.5833,150.8552,76.37,87,11,4.0,Clouds
89,Busselton,AU,-33.65,115.3333,61.41,80,0,11.79,Clear
90,Lorengau,PG,-2.0226,147.2712,82.04,76,93,2.17,Clouds
91,Nosivka,UA,50.9315,31.5828,31.73,76,63,14.12,Clouds
92,Bilibino,RU,68.0546,166.4372,-19.41,98,100,1.5,Clouds
93,Shelburne,CA,44.0787,-80.2041,40.77,70,89,17.07,Clouds
94,Vao,NC,-22.6667,167.4833,76.68,63,0,18.88,Clear
95,Kutum,SD,14.2,24.6667,59.94,16,1,10.8,Clear
96,Labuhan,ID,-6.8844,112.2051,75.79,87,96,8.79,Clouds
97,Mataura,NZ,-46.1927,168.8643,59.49,59,33,3.53,Clouds
98,Hithadhoo,MV,-0.6,73.0833,80.91,76,64,5.88,Clouds
99,Rio Grande,BR,-32.035,-52.0986,73.51,55,25,12.66,Clouds
100,Khatanga,RU,71.9667,102.5,6.4,90,77,16.67,Clouds
101,Morondava,MG,-20.2833,44.2833,80.64,78,77,6.96,Clouds
102,Noyabrsk,RU,63.1994,75.4507,-1.62,98,100,5.03,Clouds
103,Shache,CN,38.4167,77.2406,34.05,45,96,3.24,Clouds
104,Mar Del Plata,AR,-38.0023,-57.5575,77.02,25,0,21.85,Clear
105,Pangkalanbuun,ID,-2.6833,111.6167,74.37,98,99,3.15,Clouds
106,Terney,RU,45.0503,136.6092,12.65,73,98,8.48,Clouds
107,Norman Wells,CA,65.282,-126.8329,-9.36,77,100,0.0,Snow
108,Beringovskiy,RU,63.05,179.3167,-5.89,95,100,11.9,Clouds
109,Camana,PE,-16.6228,-72.7111,77.54,77,57,8.12,Clouds
110,Hammerfest,NO,70.6634,23.6821,28.85,100,100,20.71,Snow
111,Paamiut,GL,61.994,-49.6678,17.94,93,100,3.33,Snow
112,Saldanha,ZA,-33.0117,17.9442,68.05,80,70,12.53,Clouds
113,Bambanglipuro,ID,-7.95,110.2833,75.45,88,100,6.96,Clouds
114,Manggar,ID,-2.8833,108.2667,77.97,89,99,9.22,Clouds
115,Seymchan,RU,62.8833,152.4333,-36.02,99,96,0.85,Clouds
116,Cidreira,BR,-30.1811,-50.2056,72.28,57,47,16.89,Clouds
117,Ponta Do Sol,PT,32.6667,-17.1,63.23,53,13,6.29,Clouds
118,Bluff,NZ,-46.6,168.3333,59.81,76,43,4.81,Clouds
119,Plesetsk,RU,62.708,40.2916,5.25,95,72,6.17,Clouds
