City ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
449,Linhares,BR,74.57,Clouds,-19.3911,-40.0722,Days Inn Linhares
453,Ica,PE,83.66,Clouds,-14.0653,-75.7308,Hotel San Francisco
454,Banjar,ID,77.22,Clouds,-8.19,114.9675,Villa Banjar Beach
456,Houma,US,70.0,Clear,29.5958,-90.7195,Courtyard by Marriott Houma
462,Muisne,EC,78.98,Rain,0.6,-80.0333,Hostal Té de Menta
463,Oistins,BB,78.89,Clouds,13.0667,-59.5333,The Abidah By Accra
466,Kloulklubed,PW,73.9,Clouds,7.0419,134.2556,The Adventures Inn
475,Antofagasta,CL,74.48,Clear,-23.65,-70.4,Hotel Colón
479,Lhokseumawe,ID,75.78,Clouds,5.1801,97.1507,Vina Vira Hotel
491,Salinas,US,72.0,Clear,36.6777,-121.6555,The Traveler's Hotel
499,Ejido,VE,71.47,Clouds,8.5514,-71.2375,Viila Suite
505,Acapulco,MX,87.62,Smoke,16.8634,-99.8901,Hotel del Valle
509,Diego De Almagro,CL,78.94,Clear,-26.3667,-70.05,Residencial Hambyll
511,Inhambane,MZ,79.48,Rain,-23.865,35.3833,Hotel de Inhambane
515,Vanimo,PG,77.56,Rain,-2.6741,141.3028,CBC Guesthouse
517,Paita,PE,80.31,Clouds,-5.0892,-81.1144,Victor's
519,Jalpan,MX,79.86,Clear,21.2333,-99.4833,Posada Karina
521,Itaqui,BR,78.55,Clouds,-29.1253,-56.5531,Hotel Contursi
526,Kuruman,ZA,77.18,Clouds,-27.4524,23.4325,Palermo Inn
528,Tarata,BO,74.62,Clouds,-17.6167,-66.0167,Centro Alternativo Tara Tara
530,Emerald,AU,77.34,Clouds,-23.5333,148.1667,Emerald Central Hotel
539,Port Shepstone,ZA,75.13,Clear,-30.7414,30.455,The Spot Backpackers'
541,Punta Cardon,VE,78.49,Clear,11.6581,-70.215,Hotel Bijou Amethyste Punto Fijo Paraguana
542,Lima,PE,75.45,Fog,-12.0432,-77.0282,Hotel Peach Garden
546,Mackay,AU,76.68,Clouds,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
554,Carmen,MX,80.64,Clear,18.6333,-91.8333,Holiday Inn Express
556,Tabuk,PH,71.33,Clouds,17.4189,121.4443,Davidson Hotel
560,Labuan,MY,77.36,Clouds,5.2767,115.2417,Labuan Avenue Hotel
565,Salto,UY,82.56,Clear,-31.3833,-57.9667,Hotel Español Salto
571,Monrovia,LR,80.37,Clear,6.3005,-10.7969,Bella Casa Hotel
576,Moron,AR,78.69,Clear,-34.6534,-58.6198,La Esquina
578,Ilhabela,BR,73.33,Clouds,-23.7781,-45.3581,Vila Kebaya
581,Honiara,SB,82.63,Clouds,-9.4333,159.95,King Solomon Hotel
589,Sawtell,AU,75.22,Clouds,-30.3833,153.1,Boambee Bay Resort
596,Ladario,BR,82.69,Clear,-19.0047,-57.6017,Hotel Gold Fish
599,Caravelas,BR,77.04,Clear,-17.7125,-39.2481,Pousada dos Navegantes
615,Saint-Georges,GD,82.08,Clouds,12.0564,-61.7485,Deyna's City Inn
618,Farafangana,MG,76.08,Clouds,-22.8167,47.8333,Le Concombre Masqué
619,Cockburn Town,TC,76.98,Clear,21.4612,-71.1419,The Salt Raker Inn
620,Akonolinga,CM,71.04,Clouds,3.7667,12.25,Hôtel Le diamant de Mireille
628,Salalah,OM,72.9,Clear,17.0151,54.0924,Muscat International Hotel
629,Meulaboh,ID,75.38,Clouds,4.1363,96.1285,Hotel Meuligou
634,Huarmey,PE,76.93,Clouds,-10.0681,-78.1522,Hostal Santa Rosa
647,Atambua,ID,73.17,Clouds,-9.1061,124.8925,Hotel Matahari
651,Olinda,BR,83.93,Clouds,-8.0089,-34.8553,Fidji Motel
659,Beruwala,LK,75.22,Clouds,6.4788,79.9828,Villa@113
662,Valparaiso,CL,75.43,Clear,-33.0393,-71.6273,Ibis Hotel
663,Thung Song,TH,71.42,Clouds,8.1645,99.6804,Le Park Hotel
668,Mossoro,BR,85.95,Clouds,-5.1875,-37.3442,Hotel Imperial
669,Iquique,CL,78.84,Clouds,-20.2208,-70.1431,Hostal Vivar
672,Boa Vista,BR,85.98,Clouds,2.8197,-60.6733,Aipana Plaza Hotel
678,Sibolga,ID,75.25,Clouds,1.7427,98.7792,Hotel Prima Indah
683,Saint-Pierre,RE,81.91,Clear,-21.3393,55.4781,Tropic Hotel
689,San Fernando,PH,78.53,Clouds,15.0286,120.6898,Pampanga Lodge and Restaurant
691,Garoua,CM,77.41,Clear,9.3,13.4,Hôtel Le Salam Sarl
